ISO3,Country,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in Education (2010),Inequality in Education (2011),Inequality in Education (2012),Inequality in Education (2013),Inequality in Education (2014),Inequality in Education (2015),Inequality in Education (2016),Inequality in Education (2017),Inequality in Education (2018),Inequality in Education (2019),Inequality in Education (2020),Inequality in Education (2021)
AFG,Afghanistan,Low,SA,180,42.81,44.82,44.82,44.82,44.82,45.37,45.37,45.37,45.37,45.37,45.37,45.37
AGO,Angola,Medium,SSA,148,,,,,,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144,34.17144
ALB,Albania,High,ECA,67,11.90,11.90,11.90,11.90,11.90,11.90,11.90,12.33,12.33,12.33,12.33,12.33
AND,Andorra,Very High,,40,15.1603022,15.1603022,15.1603022,15.1603022,9.965680746,10.08381514,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435,10.00815435
ARE,United Arab Emirates,Very High,AS,26,,,,,,,18.24143743,14.47533507,12.63435527,12.63435527,12.63435527,12.63435527
ARG,Argentina,Very High,LAC,47,6.91,6.83,6.43,6.51,6.19,6.33,6.15,6.21,5.95,5.79,5.79,5.79
ARM,Armenia,High,ECA,85,3.69,3.69,3.69,3.69,3.69,3.69,2.93,2.93,2.93,2.93,2.93,2.93
ATG,Antigua and Barbuda,High,LAC,71,,,,,,,,,,,,
AUS,Australia,Very High,,5,2.74642733,2.477821088,2.475141691,2.935538521,2.832900537,2.72096402,2.672566064,3.043233164,3.056569899,3.056569899,3.056569899,3.056569899
AUT,Austria,Very High,,25,2.48836,3.66724,3.48986,4.29767,2.65811,2.60756,2.57064,2.9996,2.91745,2.91745,2.52241,2.52241
AZE,Azerbaijan,High,ECA,91,3.73,3.73,3.70,3.52,3.49,3.54,3.55,3.57,3.57,3.57,3.57,3.57
BDI,Burundi,Low,SSA,187,40.97,40.97,36.87,36.87,36.87,36.87,36.87,39.49,39.49,39.49,39.49,39.49
BEL,Belgium,Very High,,13,7.627,9.1745,9.1745,8.09488,9.27642,8.0071,8.6933,7.68431,8.18013,8.18013,5.87561,5.87561
BEN,Benin,Low,SSA,166,,44.79226,44.79226,44.79226,43.65639,43.65639,43.65639,43.69355,43.69355,43.69355,43.69355,43.69355
BFA,Burkina Faso,Low,SSA,184,20.97,20.97,20.97,20.97,39.15,39.15,39.15,39.15,39.15,39.15,39.15,39.15
BGD,Bangladesh,Medium,SA,129,39.40,38.56,38.56,38.56,37.31,37.31,37.31,37.31,35.56,37.31,37.31,37.31
BGR,Bulgaria,High,,68,6.14738,5.80724,5.51671,5.46531,6.42343,6.7133,6.51633,6.32881,6.09875,6.09875,5.93179,5.93179
BHR,Bahrain,Very High,AS,35,22.15,22.15,22.15,22.15,22.15,22.15,17.44,15.87,12.57,12.57,12.57,12.57
BHS,Bahamas,Very High,LAC,55,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92,6.92
BIH,Bosnia and Herzegovina,High,ECA,74,21.48,20.69,20.69,20.69,19.89,21.10,16.97,16.97,14.79,14.79,14.79,14.79
BLR,Belarus,Very High,ECA,60,,,3.67781,3.67781,3.67781,3.67781,3.67781,3.67781,3.67781,2.77203,2.77203,2.77203
BLZ,Belize,Medium,LAC,123,,15.85449,15.85449,15.85449,15.85449,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278,14.81278
BOL,Bolivia,Medium,LAC,118,23.67,21.62,20.54,19.91,20.20,19.82,19.34,19.30,17.57,16.54,16.54,16.54
BRA,Brazil,High,LAC,87,21.08,22.42,19.91,19.29,18.50,18.05,18.40,16.98,16.07,15.65,15.65,15.65
BRB,Barbados,High,LAC,70,,,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685,5.54685
BRN,Brunei,Very High,EAP,51,,,,,,,,,,,,
BTN,Bhutan,Medium,SA,127,44.81,44.81,44.81,44.81,44.81,44.81,44.81,48.23,48.23,48.23,48.23,48.23
